store_id,Store Name,ADDRESS,city,STATE,zip code,Region,franchise_owner,Status,# Menu Boards,Last Audit
LOC001,Downtown Chicago,123 Main St,Chicago,IL,60601,North,Johnson Group LLC,Active,4,2026-03-15
LOC002,Brooklyn Heights,456 Atlantic Ave,Brooklyn,NY,,East,Smith Enterprises,active,6,15/03/2026
LOC003,LA Westside,789 Sunset Blvd,Los Angeles,California,90028,West,Garcia & Sons,ACTIVE,3,March 15 2026
LOC004,Miami Beach,321 Ocean Dr,Miami,FL,33139,South,,Active,5,2026-03-20
LOC005,Austin Downtown,654 Congress Ave,Austin,TX,78701,South,Williams Co,Temporarily Closed,4,
LOC006,Seattle Pike,987 Pike St Suite 2B,Seattle,WA,98101,West,Chen Holdings,active,7,2026-04-01
LOC007,Downtown Chicago 2,124 Main St,Chicago,IL,60601,North,Johnson Group LLC,Active,4,2026-03-15
LOC008,Phoenix Central,111 Central Ave,Phoenix,AZ,85004,,Desert Sun LLC,Active,3,2026-03-28
LOC009,Boston Back Bay,222 Boylston St,Boston,MA,02116,East,NE Food Group,Active,four,2026-04-05
LOC010,Denver Union,333 17th St,Denver,CO,80202-1234,West,Rocky Mtn Foods,Active,5,2026-03-22
